DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
LAGOA DA CONFUSAO;TO;Operante;-10,828286;-49,847882;178;14/11/2016;A055
LAGOA VERMELHA;RS;Operante;-28,222381;-51,512845;833,83;01/03/2007;A844
LARANJEIRAS DO SUL;PR;Pane;-25,36888888;-52,39194444;835;06/08/2016;B804
LENCOIS;BA;Operante;-12,557854;-41,388808;438,09;04/04/2008;A425
LINHARES;ES;Operante;-19,35694444;-40,0686111;40;26/10/2006;A614
LINS;SP;Operante;-21,66611111;-49,73472221;460,65;19/09/2006;A727
LUIZ EDUARDO MAGALHAES;BA;Operante;-12,1525;-45,82972221;760,68;17/04/2002;A404
LUZIANIA;GO;Operante;-16,26055555;-47,96694443;1000,82;20/10/2006;A012
Laguna  - Farol de Santa Marta;SC;Operante;-28,60444444;-48,81333333;34,36;31/05/2008;A866
MACAE;RJ;Operante;-22,3761111;-41,81194444;28;21/09/2006;A608
MACAJUBA;BA;Pane;-12,13166666;-40,35416666;338,85;02/02/2003;A412
MACAPA;AP;Operante;0,03499999;-51,08888888;16,62;11/12/2013;A249
MACAU;RN;Pane;-5,15111111;-36,57305554;17,37;05/01/2007;A317
MACEIO;AL;Operante;-9,55111111;-35,77027777;84,12;24/02/2003;A303
MACHADO;MG;Operante;-21,680722;-45,944389;969;20/07/2017;A567
MAJOR VIEIRA;SC;Operante;-26,3936111;-50,36333333;799,58;08/02/2009;A864
MAL, CANDIDO RONDON;PR;Operante;-24,53333333;-54,01916666;392,07;17/11/2006;A820
MANACAPURU;AM;Operante;-3,29472221;-60,62833332;36,57;09/04/2008;A119
MANAUS;AM;Operante;-3,10333333;-60,01638888;61,25;08/05/2000;A101
MANHUACU;MG;Operante;-20,26333333;-42,18277777;819,47;24/09/2010;A556
MANICORE;AM;Pane;-5,7886111;-61,28833333;40,64;11/12/2011;A133
MANTENA;MG;Operante;-18,78062;-40,986505;254,91;31/07/2007;A540
MARABA;PA;Pane;-5,36638888;-49,05111111;116,58;24/06/2009;A240
MARACAJU;MS;Pane;-21,60916666;-55,17749999;388,94;14/12/2006;A731
MARAU;BA;Operante;-13,90694444;-38,97222221;6,24;21/06/2008;A438
MARECHAL THAUMATURGO;AC;Pane;-8,95;-72,78666666;220,98;26/10/2009;A137
MARIA DA FE;MG;Operante;-22,314567;-45,373049;1281,43;30/11/2006;A531
MARIANOPOLIS DO TO;TO;Operante;-9,576389;-49,723333;186,69;23/11/2012;A041
MARILANDIA;ES;Operante;-19,407181;-40,539825;95;21/03/2017;A632
MARILIA;SP;Operante;-22,235222;-49,965111;660;14/05/2017;A763
MARINGA;PR;Operante;-23,40527777;-51,93277777;548,51;20/11/2006;A835
MATEIROS;TO;Pane;-10,43444444;-45,92194443;791;24/10/2012;A040
MAUES;AM;Operante;-3,39888888;-57,67388888;25,49;21/04/2008;A122
MEDICILANDIA;PA;Pane;-3,51083333;-52,96333333;251,68;16/02/2008;A209
MINA DO PALITO;PA;Pane;-6,31999999;-55,78777777;259,88;27/09/2010;A246
MINEIROS;GO;Operante;-17,45472222;-52,60111111;862;23/11/2007;A026
MIRANDA;MS;Pane;-20,39555555;-56,43166666;132,49;01/11/2006;A722
MOCAMBINHO;MG;Operante;-15,085958;-44,016036;454;10/11/2007;A539
MONTALVANIA;MG;Operante;-14,40833333;-44,40416666;519,52;25/06/2007;A526
MONTE ALEGRE;PA;Pane;-2;-54,07638888;100,53;05/07/2012;A239
MONTE ALEGRE DE GOIAS;GO;Operante;-13,253521;-46,890326;551,33;06/06/2007;A032
MONTE VERDE;MG;Operante;-22,86166666;-46,04333333;1544,89;18/12/2004;A509
MONTEIRO;PB;Operante;-7,89444444;-37,12472221;606,39;21/08/2007;A334
MONTES CLAROS;MG;Operante;-16,68638888;-43,84388888;645,87;18/12/2002;A506
MORADA NOVA;CE;Operante;-5,13666666;-38,35666666;45,03;23/08/2007;A332
MORRETES;PR;Operante;-25,50888888;-48,80861111;50,31;12/03/2008;A873
MORRINHOS;GO;Operante;-17,745066;-49,101698;751,09;24/05/2001;A003
MOSSORO;RN;Pane;-4,90416666;-37,36694443;29,44;21/05/2007;A318
MOSTARDAS;RS;Operante;-31,24833333;-50,90638888;3,82;10/03/2008;A878
MURIAE;MG;Operante;-21,105;-42,37583332;282,79;29/08/2006;A517
NATAL;RN;Operante;-5,83722221;-35,20805555;47,46;23/02/2003;A304
NHUMIRIM;MS;Pane;-18,9886111;-56,62277777;102,26;01/08/2006;A717
NITEROI;RJ;Operante;-22,867389;-43,102056;6;12/07/2018;A627
NOSSA SENHORA DA GLORIA;SE;Pane;-10,20777777;-37,43194443;271;23/03/2017;A453
NOVA FATIMA;PR;Operante;-23,41527777;-50,57777777;664,31;07/02/2007;A842
NOVA FRIBURGO - SALINAS;RJ;Operante;-22,33472221;-42,67694443;1070;17/09/2010;A624
NOVA MARINGA;MT;Pane;-13,0386111;-57,09222221;334,36;15/04/2008;A928
NOVA PORTEIRINHA (JANAUBA);MG;Operante;-15,80277777;-43,29694444;532;18/11/2016;A563
NOVA TEBAS;PR;Pane;-24,43722221;-51,96305555;656,24;20/12/2006;A822
NOVA UBIRATA;MT;Pane;-13,41111111;-54,75222222;466,48;12/04/2008;A929
NOVA VENECIA;ES;Operante;-18,69527777;-40,39055555;156,02;21/06/2008;A623
NOVO ARIPUANA;AM;Operante;-8,0911111;-60,38055554;45;17/07/2019;A144
NOVO HORIZONTE;SC;Pane;-26,40638888;-52,85027777;943,57;19/09/2008;A816
NOVO REPARTIMENTO;PA;Operante;-4,24388888;-49,93944444;100,76;22/07/2008;A235
OBIDOS;PA;Pane;-1,88083332;-55,51972221;89,64;04/07/2012;A232
OEIRAS;PI;Pane;-6,97416666;-42,14694444;154,03;21/07/2008;A354
OIAPOQUE;AP;Operante;3,81361111;-51,8625;15,14;10/09/2008;A242
OLIVEIRA;MG;Operante;-20,715;-44,86444444;1025;18/10/2017;A570
OURICURI;PE;Pane;-7,88583333;-40,10277777;457,85;10/08/2010;A366
OURINHOS;SP;Pane;-22,94888888;-49,89444444;443,49;28/08/2006;A716
OURO BRANCO;MG;Operante;-20,55666666;-43,75611111;1048,2;27/07/2006;A513
PACAJA;PA;Pane;-3,8436111;-50,63805555;89,02;26/02/2008;A210
PALMARES;PE;Pane;-8,66666666;-35,56805554;164,01;03/09/2008;A357
PALMAS;TO;Operante;-10,19083333;-48,30194444;291,87;16/12/2004;A009
PALMEIRA DAS MISSOES;RS;Operante;-27,92027777;-53,31805554;614,11;25/02/2008;A856
PALMEIRA DOS INDIOS;AL;Operante;-9,42027777;-36,62027777;278,01;10/07/2007;A327
PAO DE ACUCAR;AL;Pane;-9,74916666;-37,43083332;20,83;13/07/2007;A323
PARACATU;MG;Operante;-17,24444444;-46,88166666;705;15/03/2018;A571
PARAGOMINAS;PA;Pane;-2,9911111;-47,35638888;93;17/10/2007;A212
PARANA;TO;Operante;-12,615;-47,87194443;284,96;03/03/2005;A010
PARANAIBA;MS;Operante;-19,69555555;-51,18166666;408,06;09/11/2006;A710
PARANAPOEMA;PR;Operante;-22,65833333;-52,13444444;308,7;03/03/2008;A850
PARANATINGA;MT;Operante;-14,42138888;-54,0361111;476,91;18/12/2006;A915
PARANOA (COOPA-DF);DF;Operante;-16,012222;-47,557417;1043;06/02/2017;A047
PARATY;RJ;Operante;-23,2236111;-44,72694443;3;18/11/2006;A619
PARAUNA;GO;Operante;-16,962536;-50,42545;678,74;28/03/2008;A027
PARINTINS;AM;Pane;-2,63916666;-56,75611111;18,72;10/04/2008;A123
PARNAIBA;PI;Operante;-3,08666666;-41,78305554;52,11;05/02/2003;A308
PARQUE ESTADUAL CHANDLESS;AC;Operante;-9,35833333;-69,92638888;184,51;04/08/2008;A102
PASSA QUATRO;MG;Operante;-22,395799;-44,961909;1017,1;29/05/2007;A529
PASSO FUNDO;RS;Operante;-28,226805;-52,403582;680,67;26/11/2006;A839
PASSOS;MG;Operante;-20,745237;-46,633916;781,7;15/07/2006;A516
PATOS;PB;Operante;-7,07972221;-37,27277777;263,66;20/07/2007;A321
PATOS DE MINAS;MG;Operante;-18,52055554;-46,44055555;950;11/05/2017;A562
PATROCINIO;MG;Operante;-18,996684;-46,985935;978,11;21/08/2006;A523
PAULISTANA;PI;Operante;-8,132288;-41,142945;376;30/08/2007;A330
PEDRO AFONSO;TO;Pane;-8,9686111;-48,17722221;189,71;22/01/2007;A020
PEIXE;TO;Operante;-12,015377;-48,544517;250,87;30/11/2006;A018
PETROLINA;PE;Operante;-9,388323;-40,523262;372,72;20/02/2003;A307
PIATA;BA;Operante;-13,155681;-41,774125;1283,95;02/05/2008;A430
PICO DO COUTO;RJ;Operante;-22,46472222;-43,29138888;1777;21/10/2006;A610
PICOS;PI;Operante;-7,0711111;-41,40416666;232,91;11/12/2008;A343
PILAO ARCADO;BA;Pane;-10,01833332;-42,50027777;385;27/05/2016;A449
PIRACICABA;SP;Operante;-22,70305555;-47,62333332;566,46;25/09/2006;A726
PIRANHAS;AL;Operante;-9,62222221;-37,76722221;187;19/09/2017;A371
PIRAPORA;MG;Operante;-17,258064;-44,835556;505,32;03/07/2007;A545
PIRES DO RIO;GO;Operante;-17,30416666;-48,28416666;757,27;11/10/2007;A033
PIRIPIRI;PI;Operante;-4,276047;-41,794568;157,89;30/08/2007;A335
PIUM;TO;Operante;-10,47694443;-49,62944443;161;05/04/2016;A051
PLACAS;PA;Pane;-3,86416666;-54,21638888;100,45;13/02/2008;A211
PLANALTO;PR;Pane;-25,72194443;-53,74805555;399,1;06/11/2007;A855
POCO VERDE;SE;Pane;-10,73805555;-38,10833333;367,01;02/04/2008;A419
POMPEU;MG;Operante;-19,23249999;-44,96416666;705;20/08/2015;A560
PONTA PORA;MS;Operante;-22,5525;-55,71638888;668;06/09/2001;A703
PONTES E LACERDA;MT;Operante;-15,23444444;-59,3461111;272,53;29/01/2008;A937
PORANGATU;GO;Operante;-13,30944444;-49,11749999;365;03/06/2001;A005
PORTO ALEGRE;RS;Operante;-30,05361111;-51,17472221;41,18;21/09/2000;A801
PORTO DE MOZ;PA;Operante;-1,82194443;-52,11166666;19;06/04/2022;A245
PORTO ESTRELA;MT;Operante;-15,32472221;-57,22583332;147,75;29/05/2008;A935
PORTO GRANDE;AP;Operante;0,69416666;-51,40388888;84,8;16/09/2008;A244
PORTO MURTINHO;MS;Operante;-21,70583333;-57,88666666;78,56;23/10/2006;A723
PORTO SEGURO;BA;Operante;-16,38888888;-39,18249999;86,36;09/07/2008;A427
PORTO VELHO;RO;Operante;-8,7936111;-63,84583333;86,7;10/07/2007;A925
PORTO WALTER;AC;Pane;-8,26722221;-72,74777777;205,35;28/10/2009;A136
POSSE;GO;Operante;-14,08916666;-46,36638888;830;17/04/2007;A017
PRADOPOLIS;SP;Operante;-21,33833333;-48,11388888;540,41;21/04/2008;A747
PREGUICAS;MA;Operante;-2,59222221;-42,7075;4,62;21/11/2008;A218
PRES, KENNEDY;ES;Operante;-21,10083333;-41,03944444;69,12;17/06/2008;A622
PRESIDENTE FIGUEIREDO;AM;Pane;-2,05666666;-60,02583332;60,99;18/04/2008;A126
PRESIDENTE PRUDENTE;SP;Operante;-22,11999999;-51,40861111;431,92;03/02/2003;A707
PRIMAVERA DO LESTE;MT;Operante;-15,57999999;-54,3811111;680;25/10/2017;A923
QUARAI;RS;Operante;-30,368578;-56,437115;113,05;16/10/2007;A831
QUEIMADAS;BA;Operante;-10,98472221;-39,61694443;310,11;22/05/2008;A436
QUIXADA;CE;Pane;-4,97888888;-39,05722222;193;19/03/2018;A369
QUIXERAMOBIM;CE;Pane;-5,17444443;-39,28944444;221,04;08/07/2007;A325
RANCHARIA;SP;Operante;-22,37277777;-50,97472221;398,75;31/08/2006;A718
RANCHO QUEIMADO;SC;Operante;-27,6786111;-49,04194444;881;30/05/2016;A870
RECIFE;PE;Pane;-8,05916666;-34,95916666;11,3;21/12/2004;A301
REDENCAO;PA;Operante;-8,04333333;-50,00694444;199;10/07/2019;A254
REGISTRO;SP;Operante;-24,53305554;-47,86416666;35;08/02/2017;A766
REMANSO;BA;Operante;-9,62555554;-42,07722221;397,4;25/03/2008;A423
RESENDE;RJ;Operante;-22,45138888;-44,44499999;438,83;28/09/2006;A609
RIBEIRA DO AMPARO;BA;Operante;-11,05861111;-38,44416666;182;19/09/2018;A458
RIO BRANCO;AC;Pane;-9,67972221;-68,16527777;163;10/07/2008;A104
RIO BRILHANTE;MS;Operante;-21,77499999;-54,52805554;324,31;25/06/2008;A743
RIO CLARO;RJ;Operante;-22,653579;-44,040916;516;02/06/2016;A626
RIO DE JANEIRO - FORTE DE COPACABANA;RJ;Operante;-22,98833333;-43,19055555;25,59;17/05/2007;A652
RIO DE JANEIRO - JACAREPAGUA;RJ;Operante;-22,93999999;-43,40277777;20;09/08/2017;A636
RIO DE JANEIRO - VILA MILITAR;RJ;Operante;-22,86138888;-43,41138888;30,43;12/04/2007;A621
RIO DE JANEIRO-MARAMBAIA;RJ;Operante;-23,05027777;-43,59555555;12;07/11/2002;A602
RIO DO CAMPO;SC;Operante;-26,93749999;-50,14555555;591,67;09/03/2008;A861
RIO GRANDE;RS;Operante;-32,07888888;-52,16777777;4,92;15/11/2001;A802
RIO NEGRINHO;SC;Operante;-26,2486111;-49,57416666;800;21/03/2008;A862
RIO PARDO;RS;Operante;-29,87222221;-52,38194443;106,99;29/09/2006;A813
RIO PARDO DE MINAS;MG;Operante;-15,72305554;-42,43583333;850,06;16/11/2007;A551
RIO SONO;TO;Operante;-9,793363;-47,132732;291;02/08/2016;A050
RIO URUBU;AM;Operante;-2,6336111;-59,60055555;112,84;25/06/2008;A125
RIO VERDE;GO;Operante;-17,78527777;-50,965;780,11;16/05/2007;A025
RONDON DO PARA;PA;Operante;-4,82749999;-48,1736111;203;16/04/2008;A214
RONDONOPOLIS;MT;Operante;-16,4625;-54,58027777;289,88;16/11/2003;A907
ROSARIO OESTE;MT;Operante;-14,82888888;-56,44194444;195;29/05/2019;A944
S, G. DA CACHOEIRA;AM;Operante;-0,125207;-67,061246;79,67;30/08/2011;A134
S,J. DO RIO CLARO;MT;Operante;-13,45388888;-56,67722221;339,59;24/02/2003;A903
SACRAMENTO;MG;Operante;-19,87527777;-47,43416666;913,12;18/08/2006;A525
SALGUEIRO;PE;Operante;-8,05805555;-39,0961111;447;14/09/2017;A370
SALINAS;MG;Operante;-16,16027777;-42,31027777;487,14;13/09/2007;A552
SALINOPOLIS;PA;Operante;-0,61888888;-47,35666666;23,18;13/06/2008;A215
SALTO DO CEU;MT;Operante;-15,12472221;-58,12722221;300,83;23/01/2008;A936
SALVADOR;BA;Operante;-13,005515;-38,50576;47,56;12/05/2000;A401
SALVADOR (RADIO FAROL);BA;Operante;-12,80833333;-38,49583333;31;09/03/2018;A456
SANTA CRUZ;RN;Pane;-6,22805554;-36,02666666;227,49;16/08/2010;A367
SANTA FE DO ARAGUAIA;TO;Operante;-7,124191;-48,781267;171;29/07/2016;A048
SANTA MARIA;RS;Operante;-29,72499999;-53,72055554;103,1;25/11/2001;A803
SANTA MARIA DAS BARREIRAS;PA;Operante;-8,72972221;-49,85638888;165;17/12/2020;A256
SANTA MARIA MADALENA;RJ;Operante;-21,95055555;-42,01027777;517;15/10/2018;A630
SANTA RITA DE CASSIA;BA;Operante;-11,00277777;-44,52499999;450,01;27/05/2007;A415
SANTA ROSA;RS;Operante;-27,89055555;-54,47999999;272,84;14/11/2006;A810
SANTA ROSA DO TOCANTINS;TO;Operante;-11,42888888;-48,18499999;306;13/08/2015;A052
SANTA TERESA;ES;Operante;-19,988388;-40,579572;975,92;08/08/2007;A613
SANTANA DO ARAGUAIA;PA;Operante;-9,3386111;-50,35027777;176,75;29/05/2008;A233
SANTANA DO LIVRAMENTO;RS;Operante;-30,75055555;-55,40138888;196;21/11/2001;A804
SANTAREM;PA;Pane;-2,5025;-54,72027777;137;01/09/2015;A250
SANTIAGO;RS;Operante;-29,191599;-54,885653;390,03;03/02/2009;A833
SANTO ANTONIO DO LESTE;MT;Operante;-14,92777777;-53,8836111;664,21;29/05/2008;A931
SANTO AUGUSTO;RS;Operante;-27,854345;-53,791179;489,67;04/12/2001;A805
SAO BORJA;RS;Operante;-28,65;-56,01638888;81,08;20/07/2007;A830
SAO CARLOS;SP;Operante;-21,980353;-47,883927;859,29;03/09/2006;A711
SAO FELIX  DO ARAGUAIA;MT;Pane;-11,61888888;-50,72777777;201,37;18/10/2007;A921
SAO FELIX DO XINGU;PA;Operante;-6,63972221;-51,95694444;211;14/11/2016;A216
SAO GABRIEL;RS;Operante;-30,341438;-54,310909;114,89;10/07/2007;A832
SAO GABRIEL DO OESTE;MS;Pane;-19,42027777;-54,55305555;646;17/12/2006;A732
SAO GONCALO;PB;Operante;-6,835777;-38,311583;237,04;05/11/2007;A333
SAO JOAO DEL REI;MG;Operante;-21,106502;-44,250928;929,88;08/06/2006;A514
SAO JOAO DO PIAUI;PI;Pane;-8,36444444;-42,2525;231;25/08/2007;A331
SAO JOAQUIM;SC;Operante;-28,27564;-49,934617;1400,06;11/04/2008;A815
SAO JOSE DO XINGU;MT;Pane;-10,48416666;-52,37249999;300;18/02/2019;A942
SAO JOSE DOS AUSENTES;RS;Operante;-28,7486111;-50,05777777;1228,59;25/10/2006;A829
SAO LUIS;MA;Operante;-2,52666666;-44,21361111;54,8;28/01/2003;A203
SAO LUIS DO PARAITINGA;SP;Operante;-23,22833332;-45,41694443;862,3;31/10/2007;A740
SAO LUIS DO QUITUNDE;AL;Pane;-9,28749999;-35,56583333;13,69;07/09/2008;A356
SAO LUIZ GONZAGA;RS;Operante;-28,41722221;-54,9625;245,5;24/07/2007;A852
SAO MATEUS;ES;Operante;-18,6761111;-39,86416666;28,66;24/10/2006;A616
SAO MATEUS DO SUL;PR;Pane;-25,83555555;-50,36888888;780,21;16/04/2011;A874
SAO MIGUEL ARCANJO;SP;Operante;-23,85194444;-48,16472222;675,68;14/08/2006;A715
SAO MIGUEL DO ARAGUAIA;GO;Operante;-12,82055554;-50,33583333;210;28/06/2017;A031
SAO MIGUEL DO OESTE;SC;Operante;-26,7861111;-53,51388888;645;11/03/2008;A857
SAO PAULO - INTERLAGOS;SP;Operante;-23,724501;-46,677501;771;13/03/2018;A771
SAO PAULO - MIRANTE;SP;Operante;-23,49638888;-46,61999999;785,64;24/07/2006;A701
SAO RAIMUNDO NONATO;PI;Operante;-9,03333333;-42,70111111;383,13;26/02/2008;A345
SAO ROMAO;MG;Operante;-16,362747;-45,123801;490,29;29/06/2007;A547
SAO SEBASTIAO;SP;Pane;-23,81083333;-45,4025;24;24/10/2017;A767
SAO SEBASTIAO DO PARAISO;MG;Pane;-20,91;-47,11416666;845;16/08/2015;A561
SAO SIMAO;GO;Operante;-18,969142;-50,633449;492,45;14/07/2006;A011
SAO SIMAO;SP;Operante;-21,46111111;-47,57944443;620;02/07/2019;A770
SAO VICENTE DO SUL;RS;Operante;-29,70222222;-54,69444444;134;05/04/2016;A889
SAPEZAL;MT;Operante;-13,30388888;-58,76333333;105;19/10/2017;A911
SAQUAREMA - SAMPAIO CORREIA;RJ;Operante;-22,8711111;-42,60888888;26;01/09/2015;A667
SENHOR DO BONFIM;BA;Pane;-10,44305555;-40,14833333;532,09;26/03/2008;A428
SERAFINA CORREA;RS;Operante;-28,70472222;-51,87083332;545;31/03/2016;A894
SEROPEDICA-ECOLOGIA AGRICOLA;RJ;Operante;-22,75777777;-43,68472221;35;23/05/2000;A601
SERRA DOS AIMORES;MG;Operante;-17,79888888;-40,25;211,97;20/08/2006;A522
SERRA DOS CARAJAS;PA;Operante;-6,07749999;-50,14222221;707;02/09/2008;A230
SERRA NOVA DOURADA;MT;Pane;-11,98777777;-51,4261111;441;28/03/2019;A943
SERRA TALHADA;PE;Pane;-7,95416666;-38,29499999;499,02;08/07/2008;A350
SERRINHA;BA;Pane;-11,66472222;-39,02305554;337,79;08/05/2008;A441
SETE LAGOAS;MG;Operante;-19,45527777;-44,17333332;719;09/06/2016;A569
SETE QUEDAS;MS;Pane;-23,96694443;-55,02416666;398,4;02/06/2008;A751
SIDROLANDIA;MS;Operante;-20,98166666;-54,97194443;471,43;28/09/2008;A754
SILVA JARDIM;RJ;Operante;-22,64583333;-42,41555555;19;27/08/2015;A659
SILVANIA;GO;Operante;-16,67972221;-48,61805554;952;07/10/2010;A037
SINOP;MT;Pane;-11,98222221;-55,56611111;366,57;28/10/2006;A917
SOBRAL;CE;Pane;-3,74805555;-40,34583333;92,07;11/02/2003;A306
SOLEDADE;RS;Operante;-28,859211;-52,542387;660,44;29/02/2008;A837
SONORA;MS;Operante;-17,63527777;-54,76055555;495,25;29/11/2012;A761
SOROCABA;SP;Operante;-23,4261111;-47,58555555;609,33;21/08/2006;A713
SORRISO;MT;Pane;-12,555;-55,72277777;379,31;15/12/2002;A904
SOURE;PA;Pane;-0,72777777;-48,51583333;12,54;26/04/2008;A227
SURUBIM;PE;Operante;-7,83972221;-35,80111111;421,44;08/03/2008;A328
Santa Vitoria do Palmar - Barra do Chui;RS;Pane;-33,74222221;-53,37222221;7,41;07/03/2008;A899
TANGARA DA SERRA;MT;Operante;-14,65;-57,43166666;440,01;10/12/2002;A902
TAUA;CE;Pane;-6,01749999;-40,28138888;410,87;11/07/2007;A324
TAUBATE;SP;Operante;-23,04166666;-45,52083332;582,26;19/12/2006;A728
TEOFILO OTONI;MG;Operante;-17,89284;-41,515423;467,17;24/08/2006;A527
TERESINA;PI;Operante;-5,03472221;-42,80138888;75,23;23/11/2004;A312
TERESOPOLIS-PARQUE NACIONAL;RJ;Operante;-22,4486111;-42,98694444;981;31/10/2006;A618
TEUTONIA;RS;Operante;-29,44916666;-51,82333332;81;03/10/2012;A882
TIANGUA;CE;Pane;-3,73222221;-41,01194444;756;14/03/2018;A368
TIMOTEO;MG;Operante;-19,57388888;-42,62249999;493,42;21/02/2006;A511
TOME ACU;PA;Pane;-2,59249999;-48,36055555;42,95;13/10/2007;A213
TORRES;RS;Operante;-29,35027777;-49,73333333;8,44;31/05/2006;A808
TRAMANDAI;RS;Operante;-30,01027777;-50,13583333;4,56;08/03/2008;A834
TRES LAGOAS;MS;Operante;-20,78333333;-51,71222222;328,94;02/09/2001;A704
TRES MARIAS;MG;Operante;-18,200855;-45,459836;931,01;24/08/2006;A528
TRES RIOS;RJ;Operante;-22,09833333;-43,20833333;295;07/06/2016;A625
TUCUMA;PA;Operante;-6,74333333;-51,14194444;320,93;17/07/2008;A234
TUCURUI;PA;Pane;-3,82277777;-49,67499999;137,94;29/02/2008;A229
TUPA;SP;Operante;-21,927251;-50,490251;498;11/05/2017;A768
TUPANCIRETA;RS;Operante;-29,0893814;-53,82665025;462;10/08/2016;A886
TURIACU;MA;Operante;-1,66111111;-45,37249999;35,86;09/06/2008;A219
UAUA;BA;Pane;-9,8336111;-39,49555555;450,6;19/05/2008;A435
UBERABA;MG;Operante;-19,71;-47,96194444;778;18/05/2017;A568
UBERLANDIA;MG;Operante;-18,91694443;-48,25555555;874,77;17/12/2002;A507
UNA;BA;Pane;-15,28027777;-39,09138888;74,08;24/06/2008;A437
UNAI;MG;Operante;-16,55416666;-46,88194443;640,85;15/06/2007;A542
URUCARA;AM;Operante;-2,53472221;-57,75805555;18,49;16/04/2008;A124
URUCUI;PI;Pane;-7,44138888;-44,34499999;398,83;05/03/2008;A346
URUGUAIANA;RS;Operante;-29,83987;-57,081899;74,29;27/09/2006;A809
URUSSANGA;SC;Operante;-28,53249999;-49,31527777;40,56;28/05/2008;A814
VACARIA;RS;Operante;-28,513602;-50,882738;969,89;25/04/2008;A880
VALENCA;RJ;Operante;-22,35805555;-43,69555555;370;26/09/2006;A611
VALENCA;BA;Pane;-13,3436111;-39,12666666;93,12;28/06/2009;A444
VALENCA DO PIAUI;PI;Pane;-6,39916666;-41,73999999;313,39;17/04/2009;A363
VALPARAISO;SP;Operante;-21,31916666;-50,93027777;381,9;29/08/2007;A734
VARGINHA;MG;Operante;-21,56638888;-45,40416666;949,78;12/07/2006;A515
VENDA NOVA DO IMIGRANTE;ES;Operante;-20,38555555;-41,18999999;722;09/02/2017;A633
VENTANIA;PR;Operante;-24,28027777;-50,21027777;1093,41;14/04/2011;A872
VICOSA;MG;Operante;-20,762607;-42,864013;697,64;14/09/2005;A510
VILA BELA DA SANTISSIMA TRINDADE;MT;Operante;-15,06277777;-59,87305554;213;30/11/2006;A922
VILA VELHA;ES;Operante;-20,46694443;-40,40388888;25;14/02/2017;A634
VILHENA;RO;Operante;-12,73499999;-60,15777777;583,3;25/08/2008;A938
VITORIA;ES;Operante;-20,27083332;-40,30583333;9;30/10/2006;A612
VITORIA DA CONQUISTA;BA;Operante;-14,88638888;-40,80138888;879,38;31/05/2007;A414
VOTUPORANGA;SP;Operante;-20,40333333;-49,96611111;510,37;03/12/2006;A729
XANXERE;SC;Operante;-26,938666;-52,39809;878,74;14/03/2008;A858
XINGUARA;PA;Operante;-7,110518;-49,926072;245;10/09/2016;A247
ZE DOCA;MA;Operante;-3,26916666;-45,65111111;45,5;17/09/2019;A255
